attack,stime,pkts,dur,mean,stddev,sum,min,max,rate
0,1529283982,4,1080.378906,0,0,0,0,0,0.002777
0,1529283953,12,112.047569,0.024268,0.015937,0.072805,0.005787,0.044681,0.098173
0,1529284104,4,731.272095,0.000104,4E-06,0.000209,0.000101,0.000108,0.004102
1,1529283913,26,1162.980103,0.000121,2.7E-05,0.001569,8.2E-05,0.000164,0.021496
1,1529284204,28,0.489598,0.489598,0,0.489598,0.489598,0.489598,55.147282
1,1529284204,31,3.207045,3.207045,0,3.207045,3.207045,3.207045,9.354405
1,1529284204,32,2.738534,2.738534,0,2.738534,2.738534,2.738534,11.319925
1,1529284204,31,2.73911,2.73911,0,2.73911,2.73911,2.73911,10.952463
1,1529284204,32,2.740962,2.740962,0,2.740962,2.740962,2.740962,11.309897
1,1529284204,31,2.742069,2.742069,0,2.742069,2.742069,2.742069,10.940643
1,1529284204,32,2.74254,2.74254,0,2.74254,2.74254,2.74254,11.303391
1,1529284204,31,2.737259,2.737259,0,2.737259,2.737259,2.737259,10.959869
1,1529284204,33,2.739911,2.739911,0,2.739911,2.739911,2.739911,11.679211
1,1529284204,32,2.739175,2.739175,0,2.739175,2.739175,2.739175,11.317276
1,1529284204,32,2.740944,2.740944,0,2.740944,2.740944,2.740944,11.309973
1,1529284204,32,3.205293,3.205293,0,3.205293,3.205293,3.205293,9.671503
1,1529284204,6,0.065735,0.065735,0,0.065735,0.065735,0.065735,76.062981
1,1529284204,32,3.203701,3.203701,0,3.203701,3.203701,3.203701,9.676309
1,1529284204,6,0.06589,0.06589,0,0.06589,0.06589,0.06589,75.884048
1,1529284204,33,3.207092,3.207092,0,3.207092,3.207092,3.207092,9.977886
1,1529284204,6,0.065906,0.065906,0,0.065906,0.065906,0.065906,75.865623
1,1529284204,32,3.135606,3.135606,0,3.135606,3.135606,3.135606,9.886446
1,1529284204,31,3.128281,3.128281,0,3.128281,3.128281,3.128281,9.589931
1,1529284204,32,3.126403,3.126403,0,3.126403,3.126403,3.126403,9.915548
1,1529284207,31,4.477876,4.477876,0,4.477876,4.477876,4.477876,6.699605
1,1529284207,31,4.464596,4.464596,0,4.464596,4.464596,4.464596,6.719533
1,1529284207,6,0.001349,0.001349,0,0.001349,0.001349,0.001349,3706.449219
1,1529284207,31,4.447264,4.447264,0,4.447264,4.447264,4.447264,6.74572
1,1529284207,31,4.466011,4.466011,0,4.466011,4.466011,4.466011,6.717404
1,1529284207,31,4.469018,4.469018,0,4.469018,4.469018,4.469018,6.712884
1,1529284207,31,4.453702,4.453702,0,4.453702,4.453702,4.453702,6.73597
1,1529284207,6,0.002399,0.002399,0,0.002399,0.002399,0.002399,2084.20166
1,1529284207,8,0.00129,0.00129,0,0.00129,0.00129,0.00129,5426.356445
1,1529284207,8,0.000218,0.000218,0,0.000218,0.000218,0.000218,32110.0918
1,1529284207,30,4.430756,4.430756,0,4.430756,4.430756,4.430756,6.545158
1,1529284207,6,0.000177,0.000177,0,0.000177,0.000177,0.000177,28248.58789
1,1529284207,30,4.282058,4.282058,0,4.282058,4.282058,4.282058,6.772445
1,1529284207,6,0.000535,0.000535,0,0.000535,0.000535,0.000535,9345.793945
1,1529284207,31,4.280083,4.280083,0,4.280083,4.280083,4.280083,7.00921
1,1529284207,6,0.000622,0.000622,0,0.000622,0.000622,0.000622,8038.584961
1,1529284207,30,4.277641,4.277641,0,4.277641,4.277641,4.277641,6.779438
1,1529284207,8,0.002095,0.002095,0,0.002095,0.002095,0.002095,3341.289062
1,1529284207,31,4.22521,4.22521,0,4.22521,4.22521,4.22521,7.100238
1,1529284207,6,0.000858,0.000858,0,0.000858,0.000858,0.000858,5827.505859
1,1529284207,31,4.222971,4.222971,0,4.222971,4.222971,4.222971,7.104003
1,1529284207,31,4.22338,4.22338,0,4.22338,4.22338,4.22338,7.103315
1,1529284207,6,0.000416,0.000416,0,0.000416,0.000416,0.000416,12019.23047
1,1529284207,31,4.208278,4.208278,0,4.208278,4.208278,4.208278,7.128806
1,1529283935,32,1141.010742,0.000167,0.000118,0.002678,7.6E-05,0.000568,0.027169
1,1529284211,8,0.001172,0.001172,0,0.001172,0.001172,0.001172,5972.696289
1,1529284211,6,0.002173,0.002173,0,0.002173,0.002173,0.002173,2300.966309
1,1529284211,31,2.417724,2.417724,0,2.417724,2.417724,2.417724,12.408365
1,1529284211,31,2.419149,2.419149,0,2.419149,2.419149,2.419149,12.401055
1,1529284211,31,2.41977,2.41977,0,2.41977,2.41977,2.41977,12.397873
1,1529284211,30,2.399223,2.399223,0,2.399223,2.399223,2.399223,12.087246
1,1529284211,31,2.416895,2.416895,0,2.416895,2.416895,2.416895,12.412621
1,1529284211,6,0.002935,0.002935,0,0.002935,0.002935,0.002935,1703.577515
1,1529284211,31,2.397716,2.397716,0,2.397716,2.397716,2.397716,12.511907
1,1529284211,31,2.390401,2.390401,0,2.390401,2.390401,2.390401,12.550196
1,1529284211,33,4.11607,4.11607,0,4.11607,4.11607,4.11607,7.774406
1,1529284211,31,2.389486,2.389486,0,2.389486,2.389486,2.389486,12.555001
1,1529284211,31,2.398324,2.398324,0,2.398324,2.398324,2.398324,12.508736
1,1529284211,31,2.399472,2.399472,0,2.399472,2.399472,2.399472,12.50275
1,1529284211,31,2.392082,2.392082,0,2.392082,2.392082,2.392082,12.541376
1,1529284211,6,0.005769,0.005769,0,0.005769,0.005769,0.005769,866.701355
1,1529284211,6,0.004213,0.004213,0,0.004213,0.004213,0.004213,1186.802734
1,1529284211,31,2.390069,2.390069,0,2.390069,2.390069,2.390069,12.551939
